;index;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
17755;25369;Apartamento;Copacabana;4;1;1;150;6500.0;1500.0;261.0
17756;25370;Apartamento;Barra da Tijuca;4;2;1;110;4300.0;1380.0;150.0
17757;25373;Apartamento;Copacabana;2;2;2;88;5500.0;;
17758;25374;Apartamento;Ipanema;1;0;0;54;3800.0;781.0;
17759;25376;Apartamento;Copacabana;1;0;1;37;2300.0;442.0;22.0
17760;25381;Apartamento;Flamengo;3;1;2;360;15000.0;2300.0;
17761;25382;Quitinete;Copacabana;0;0;0;40;1000.0;620.0;55.0
17762;25383;Apartamento;Copacabana;5;2;1;280;13000.0;2245.0;296.0
17763;25384;Apartamento;Freguesia (Jacarepaguá);2;1;0;50;1400.0;400.0;15.0
17764;25387;Apartamento;Barra da Tijuca;4;4;4;350;10000.0;2800.0;1700.0
17765;25390;Apartamento;Copacabana;3;0;0;135;3600.0;1300.0;160.0
17766;25392;Apartamento;Barra da Tijuca;3;2;1;78;6500.0;1650.0;350.0
17767;25394;Flat;Barra da Tijuca;1;0;1;25;1600.0;;
17768;25395;Apartamento;Copacabana;3;1;0;103;2000.0;1200.0;200.0
17769;25396;Apartamento;Taquara;3;1;1;70;2000.0;410.0;50.0
17770;25397;Apartamento;Tanque;2;1;1;62;1100.0;640.0;41.0
17771;25398;Apartamento;Ipanema;2;1;2;105;8000.0;4000.0;412.0
17772;25400;Casa de Vila;Taquara;1;0;0;60;1000.0;;
17773;25403;Apartamento;Tijuca;2;1;1;70;1800.0;570.0;
17774;25404;Casa;Jardim Botânico;4;3;4;452;20000.0;;1749.0
17775;25405;Casa de Condomínio;Recreio dos Bandeirantes;3;1;1;240;3000.0;;
17776;25409;Apartamento;Copacabana;3;1;1;138;3000.0;1043.0;245.0
17777;25411;Apartamento;Tijuca;2;1;0;60;1900.0;560.0;49.0
17778;25413;Apartamento;Tijuca;2;1;0;68;1800.0;690.0;120.0
17779;25416;Apartamento;Laranjeiras;3;2;1;180;5800.0;1800.0;170.0
17780;25417;Apartamento;Recreio dos Bandeirantes;3;2;1;181;4500.0;950.0;700.0
17781;25418;Apartamento;Maria da Graça;2;0;0;96;1300.0;506.0;61.0
17782;25420;Apartamento;Copacabana;3;0;0;100;2700.0;925.0;152.0
17783;25422;Apartamento;Flamengo;2;1;1;84;2400.0;1030.0;174.0
17784;25423;Apartamento;Leblon;2;1;1;80;4500.0;1100.0;
17785;25428;Quitinete;Flamengo;0;0;0;28;1200.0;355.0;
